tokens_est	chars	path
398	1591	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/nullLayerReport.jsx
396	1583	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeGroupReport.jsx
396	1583	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeGroupReport.jsx
384	1534	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/satinStyle.jsx
384	1534	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/satinStyle.jsx
372	1488	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeStrokeReport.jsx
372	1488	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeStrokeReport.jsx
368	1470	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeRepeaterReport.jsx
368	1470	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeRepeaterReport.jsx
367	1467	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeTrimPathsReport.jsx
367	1467	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeTrimPathsReport.jsx
365	1460	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeRectReport.jsx
365	1460	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeRectReport.jsx
358	1433	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/hostscript.jsx
358	1433	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/hostscript.jsx
352	1410	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/builderTypes.jsx
352	1410	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/builderTypes.jsx
339	1356	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeUnhandledReport.jsx
339	1356	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeUnhandledReport.jsx
338	1352	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeEllipseReport.jsx
338	1352	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeEllipseReport.jsx
332	1328	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeFillReport.jsx
332	1328	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeFillReport.jsx
329	1315	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportAnimatorSelectorMessageFactory.jsx
329	1315	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportAnimatorSelectorMessageFactory.jsx
328	1311	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportEffectMessageFactory.jsx
328	1311	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/masksReport.jsx
328	1311	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportEffectMessageFactory.jsx
328	1311	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/masksReport.jsx
318	1274	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeRoundCornersReport.jsx
318	1274	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeRoundCornersReport.jsx
318	1270	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportAnimatorMessageFactory.jsx
318	1270	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportAnimatorMessageFactory.jsx
310	1241	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/layerStyleResolver.jsx
310	1241	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/layerStyleResolver.jsx
293	1173	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeCollectionReport.jsx
293	1173	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeCollectionReport.jsx
287	1147	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeShapeReport.jsx
287	1147	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeShapeReport.jsx
282	1127	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/eventManager.jsx
282	1127	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/eventManager.jsx
276	1102	Divers/bake_expression.jsx
266	1062	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/audioHelper.jsx
266	1062	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/audioHelper.jsx
263	1052	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/messageClassReport.jsx
263	1052	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/messageClassReport.jsx
262	1048	Aescripts-TypeMonkey v1.18/TypeMonkey v1.18/Freebie/TM_DuplicateMarkerRemover.jsx
209	837	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/maskTypeResolver.jsx
209	837	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/maskTypeResolver.jsx
194	776	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportsManager.jsx
194	776	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportsManager.jsx
183	733	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/renderHelper.jsx
183	733	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/renderHelper.jsx
178	714	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportMessageFactory.jsx
178	714	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportMessageFactory.jsx
171	684	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/markerHelper.jsx
171	684	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/markerHelper.jsx
169	676	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/timeremapHelper.jsx
169	676	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/timeremapHelper.jsx
162	648	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/shapeLayerReport.jsx
162	648	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/shapeLayerReport.jsx
152	606	Aescripts-Pro IO v2.16.2/Pro_IO_v2.16.2/com.aescripts.proio/main.jsx
144	574	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/dataHelper.jsx
144	574	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/dataHelper.jsx
112	448	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/versionHelper.jsx
112	447	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/versionHelper.jsx
89	357	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/shapeTypes.jsx
89	357	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/shapeTypes.jsx
80	320	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/rendererTypes.jsx
80	320	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/rendererTypes.jsx
75	300	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/layerTypes.jsx
75	300	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/layerTypes.jsx
67	267	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/messageTypes.jsx
67	267	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/messageTypes.jsx
50	201	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/layerStyleTypes.jsx
50	201	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/layerStyleTypes.jsx
38	150	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/maskTypes.jsx
38	150	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/maskTypes.jsx
